goos: linux
goarch: amd64
pkg: github.com/derickschaefer/reserve/tests/benchmarks
cpu: DO-Regular
BenchmarkV2MarshalMetaBatch             	   30477	     39202 ns/op	 395.29 MB/s	   16432 B/op	       3 allocs/op
BenchmarkV2MarshalMetaBatch             	   32919	     35166 ns/op	 440.68 MB/s	   16432 B/op	       3 allocs/op
BenchmarkV2MarshalMetaBatch             	   26852	     39667 ns/op	 390.65 MB/s	   16432 B/op	       3 allocs/op
BenchmarkV2MarshalMetaBatch             	   29241	     41405 ns/op	 374.26 MB/s	   16432 B/op	       3 allocs/op
BenchmarkV2MarshalMetaBatch             	   29361	     40039 ns/op	 387.05 MB/s	   16432 B/op	       3 allocs/op
BenchmarkV2UnmarshalMetaBatch           	   18602	     66370 ns/op	 234.19 MB/s	   31345 B/op	      48 allocs/op
BenchmarkV2UnmarshalMetaBatch           	   17913	     74058 ns/op	 209.88 MB/s	   31345 B/op	      48 allocs/op
BenchmarkV2UnmarshalMetaBatch           	   17738	     62285 ns/op	 249.50 MB/s	   31345 B/op	      48 allocs/op
BenchmarkV2UnmarshalMetaBatch           	   18818	     72260 ns/op	 215.11 MB/s	   31345 B/op	      48 allocs/op
BenchmarkV2UnmarshalMetaBatch           	   18884	     68806 ns/op	 225.91 MB/s	   31345 B/op	      48 allocs/op
BenchmarkV2UnmarshalMetaBatch           	   19375	     63556 ns/op	 244.54 MB/s	   31345 B/op	      48 allocs/op
BenchmarkV2UnmarshalMetaBatch           	   18866	     69609 ns/op	 223.26 MB/s	   31345 B/op	      48 allocs/op
BenchmarkV2UnmarshalMetaBatch           	   16515	     73350 ns/op	 211.92 MB/s	   31345 B/op	      48 allocs/op
BenchmarkV2UnmarshalMetaBatch           	   16008	     65224 ns/op	 238.32 MB/s	   31345 B/op	      48 allocs/op
BenchmarkV2UnmarshalMetaBatch           	   18711	     65845 ns/op	 236.04 MB/s	   31345 B/op	      48 allocs/op
PASS
ok  	github.com/derickschaefer/reserve/tests/benchmarks	309.917s
